Sr. No,Newspaper Name,Published Date,URL,Headline,Content,Human Summary,Category
55,The Hindu,25/02/2022,https://www.thehindu.com/news/international/india-hesitant-to-support-us-backed-unsc-resolution-on-ukraine/article65084728.ece,India hesitant to support U.S.-backed UNSC resolution on Ukraine,"India has not committed to supporting a U.S.-backed United Nations Security Council (UNSC) resolution calling for Russia to withdraw from Ukraine. The resolution is scheduled to be discussed at 3 p.m. on Friday, New York Time. Russia, a permanent member of the Security Council and also its president for this month, is certain to veto the resolution. India has abstained during UN votes on Russia and Ukraine in the recent past, as it attempts to balance its interests with both Moscow and the West, led by Washington.

Hours before the scheduled meeting on Friday, External Affairs Minister said via Twitter, that he had emphasized “diplomacy and dialogue” to resolve the crisis, during a conversation with Ukraine’s Foreign Minister, Dmytro Kuleba.

“I emphasized that India supports diplomacy & dialogue as the way out. Discussed predicament of Indian nationals, including students. Appreciate his support for their safe return,” Mr Jaishankar said.

While India has called for diplomacy and dialogue, Russian troops have invaded Ukraine and entered Kyiv, as per reports. At Wednesday’s UNSC meeting – during which Russian President Vladimir Putin announced a ‘special operation’ in Ukraine, India’s permanent representative T S Tirumurti did not name Russia during his remarks.

Friday’s draft resolution condemns Russia’s aggression in the “strongest terms,” reaffirms the sovereignty of Ukraine and “requires the Russian Federation immediately, completely, and unconditionally to withdraw its forces,” a senior administration official of the U.S., who did not want to be named, told reporters on a briefing call on Thursday.

During a call with Mr. Jaishankar on Thursday, U.S. Secretary of State Antony Blinken, “stressed the importance of a strong collective response to condemn Russia’s invasion and call for an immediate withdrawal and ceasefire,” during this call, the State Department’s spokesperson said.

Asked if India, a ‘Major Defense Partner’ of the U.S., was “in sync” with the U.S. on Russia, U.S. President Joe Biden said on Thursday that discussions were still on-going – possibly referring to talks around Friday’s resolution.","India has not committed to supporting a U.S.-backed UNSC resolution calling for Russia's withdrawal from Ukraine, scheduled for discussion on Friday. India has previously abstained from votes on Russia and Ukraine to balance its relations with both Moscow and the West.

Hours before the UNSC meeting, External Affairs Minister S. Jaishankar reiterated India's support for ""diplomacy and dialogue"" in resolving the crisis during a conversation with Ukraine’s Foreign Minister. Meanwhile, Russian troops have advanced in Ukraine, and India's UNSC representative did not directly address Russia during a recent meeting.

The draft resolution condemns Russia’s actions and demands an immediate withdrawal. U.S. Secretary of State Antony Blinken has emphasized the need for a strong collective response, while discussions between India and the U.S. on the resolution are ongoing.",International News
56,The Hindu,10/01/2022,https://www.thehindu.com/news/cities/chennai/hospital-admissions-for-covid-19-low/article38210523.ece,Hospital admissions for COVID-19 low,"The government hospitals in the city are seeing fewer admissions after the recent spike in COVID-19 cases in the last few days. Most of those admitted are the middle aged persons and senior citizens who refused to get vaccinated.

In the Rajiv Gandhi Government General Hospital, where 240 patients are under treatment, 70 are unvaccinated. All the patients in intensive care unit in the hospital have contracted the delta variant, said Dean E. Therani Rajan.

Of the 17 patients in the ICU, only two have taken both doses of the vaccine but in these people age and comorbidities were a factor, he said.

On why the remaining 15 were not vaccinated, the Dean said they were apprehensive of the comorbidities becoming worse. These patients had cardiac ailments, diabetes, hypertension and stroke. A centenarian who got infected had refused to get vaccinated, he said.

At the Stanley Medical College, 190 patients have been admitted. Of these, 12 are in the ICU and seven are fully vaccinated.

Three persons had taken one dose and only two persons were unvaccinated. Dean P. Balaji said the lower literacy level among the residents of the localities the hospital catered to had ensured greater focus from the government to get them vaccinated.

Persons who were admitted to the ICU had co-morbid conditions and had been transferred from private hospitals.

“They were found to have been infected while being taken for surgery,” he added.

At the Government Medical College Hospital, Omandurar Estate, which is a dedicated COVID care hospital, 141 persons have been admitted and 10 are in the ICU. “Eight of them are not vaccinated. As many as 20 are not on ventilator but on oxygen support. Of these, 10 are not vaccinated. Generally, it is only lethargy and fear arising from comorbidities,” said Dean R. Jayanthi.

As many as 115 COVID-19 patients have been admitted to the Government Kilpauk Medical College Hospital, said Dean Santhimalar.","Hospitals in the city report fewer admissions despite a recent COVID-19 spike. Most admitted patients are unvaccinated middle-aged and senior citizens:

- **Rajiv Gandhi Government General Hospital**: Out of 240 patients, 70 are unvaccinated, with all ICU patients having the delta variant. Only 2 of 17 ICU patients were fully vaccinated.

- **Stanley Medical College**: Of 190 patients, 12 are in the ICU. Seven are fully vaccinated, while three had one dose and two are unvaccinated.

- **Government Medical College Hospital, Omandurar Estate**: Out of 141 patients, 10 are in the ICU, with eight unvaccinated.

- **Government Kilpauk Medical College Hospital**: 115 patients have been admitted.

The data suggests that unvaccinated patients are more likely to experience severe outcomes.",Health and Wellness
57,The Hindu,06/11/2021,https://www.thehindu.com/news/cities/Coimbatore/dengue-prevention-measures-intensified-in-dharmapuri/article37361886.ece,Dengue prevention measures intensified in Dharmapuri,"The district administration has begun block-wise medical camps to coordinate with the fever cases recorded in various government hospitals, as part of dengue prevention measures.

Ahead of the north-east monsoon, fever prevention and mitigation measures have been initiated in the district. According to Collector S. Dhivyadarshini, dengue prevention measures were being jointly undertaken by the Department of Public Health and the local bodies.

Six health inspectors were overseeing the collating of information that includes the names and addresses of in-patients and out-patients at the government hospitals, and the various primary health centres with complaints of fever. The list is shared with the eight blocks and the local bodies.

According to the administration, block medical officers and block development officers, based on the list of addresses of reported fever cases, shall organise medical camps in the respective panchayats. Further, the eight block-level primary health centres will organise mobile medical camps in a concerted manner, Ms. Dhivyadarshini said.

In addition, all school medical teams will be engaged to create awareness of the various symptoms of fever. Any symptoms of fever should not be neglected, the administration has said.

Public were urged to clean water tanks and water collection points with bleaching powder and water collection vessels should be sealed tight to prevent mosquito breeding in fresh water. Public were also urged to provide support to conservancy workers, who carry out door-to-door sanitation works.

The Collector has called upon the public to provide unhindered access to the backyards and other water collection points to enable fumigation by the dengue prevention staff.","The district administration is organizing block-wise medical camps to address rising fever cases and prevent dengue ahead of the north-east monsoon. Key actions include:

Medical Camps: Camps are being set up in each block based on data from health inspectors about fever cases from government hospitals and primary health centers.
Coordination: Block medical officers and development officers will oversee these camps, with mobile units dispatched as needed.
Awareness: School medical teams will educate the public on fever symptoms.
Prevention Measures: The public is urged to clean water storage, seal containers, and support sanitation workers to prevent mosquito breeding. Access to water collection points for fumigation is also requested.",Local News
58,The Hindu,13/09/2021,https://www.thehindu.com/news/national/karnataka/oscar-fernandes-was-one-of-the-trimurthis-of-coastal-congress/article36442483.ece,Oscar Fernandes was one of the ‘Trimurthis’ of coastal Congress,"Congress leader Oscar Fernandes, who passed away on Monday, was one among the “Trimurthis” of coastal Karnataka Congress, two others being former Union Ministers B. Janardhana Poojary and M. Veerappa Moily, who began their political career in the 1970s. The three stalwarts, who developed close proximity with the Gandhi family, nurtured several young leaders while Mr. Fernandes was the link for local Congress leaders to the high command.

Moving close to the Congress first family, he was Parliamentary Secretary to Prime Minister Rajiv Gandhi for six months and became a Minister when he was RS member in 2004 and was the Union Minister for Road Transport and Highways in 2013.

In between, he held portfolios of statistics and programme implementation, overseas affairs and labour. At the organisational front, Mr. Fernandes was the Karnataka Pradesh Congress Committee president in 1986, joint general secretary and general secretary of the All India Congress Committee. He was among the six trustees of National Herald.

Yoga aficionado
A practitioner of yoga, Mr. Fernandes had spoken in support of the Indian systems of medicine, including naturopathy, in Parliament. He was also a Yakshagana artist and practised Kuchipudi.

Former Minister B. Ramanath Rai said the mortal remains would be taken to Udupi on Tuesday morning to allow people to pay last respects and brought to Mangaluru by 3 p.m.

After the mass at Milagres Church in Mangaluru on Wednesday morning, the body would be taken to Bengaluru, and kept at the KPCC office.

The burial would be at St. Patrick’s Church, Brigade Road, Bengaluru, on Wednesday, Mr. Rai said quoting family members.

Chief Minister Basavaraj Bommai, Legislative Assembly Speaker Vishweshwar Hegde Kageri, Cabinet Ministers, KPCC president D.K. Shivakumar, former Union Minister M. Mallikarjun Kharge, Leader of the Opposition Siddaramaiah, KPCC working presidents Eshwar Khandre and Ramalinga Reddy, and several other Congress leaders mourned the death of Mr. Fernandes.","Congress leader Oscar Fernandes, who passed away on Monday, was a prominent figure in coastal Karnataka Congress, alongside B. Janardhana Poojary and M. Veerappa Moily. He was closely associated with the Gandhi family and held various key positions, including Union Minister for Road Transport and Highways. Fernandes also served as Karnataka Pradesh Congress Committee president and held roles in the All India Congress Committee.

A yoga practitioner and supporter of Indian medicine, Fernandes was also involved in Yakshagana and Kuchipudi. His funeral arrangements include visits to Udupi, Mangaluru, and Bengaluru, with a burial at St. Patrick’s Church in Bengaluru. His passing was mourned by Chief Minister Basavaraj Bommai, key Congress leaders, and others.",Obituaries
59,The Hindu,05/06/2021,https://www.thehindu.com/news/national/tamil-nadu/40-private-hospitals-in-state-pulled-up-for-violations/article34741442.ece,40 private hospitals in State pulled up for violations,"
At least 40 private hospitals in the State have been pulled up for violations, including “charging exorbitant rates” for treating COVID-19 patients.

So far, 10 private hospitals have lost their permits to treat COVID-19 patients, following violations including charging patients in excess of the government stipulated rates for COVID-19 treatment.

Officials of the Directorate of Medical and Rural Health Services said though the number of complaints were not the same as during the first wave, a number of hospitals were in trouble for charging more than the cost prescribed by the State government.

“We have issued notices to 22 hospitals for violations, including excess charges for treatment. We have cancelled COVID-19 treatment permissions to 10 hospitals so far. They cannot admit new patients, while existing in-patients should be treated and discharged. The Directorate has been taking action under the Tamil Nadu Clinical Establishments Act,” an officer said.

On Friday, the Directorate issued notices to 20 more private hospitals for charging exorbitant rates. “We had received complaints through the State health helpline 104. If these hospitals do not initiate refunds, we will not only cancel their COVID-19 treatment permissions, but also their clinical registrations,” he said.

On May 22, the State government had issued an order fixing maximum rates that private hospitals could charge patients for COVID-19 treatment. For those covered under the Chief Minister’s Comprehensive Health Insurance Scheme, it had fixed ₹5,000 a day for patients not requiring oxygen support, and ₹15,000 for those requiring oxygen support. For critical cases, it fixed ₹35,000 for ICU with ventilatory support, ₹30,000 for ICU with non-invasive ventilation and ₹25,000 for ICU with oxygen as stepping down.

For the general public, the State government fixed the cost of treatment on a par with CMCHIS — ₹5,000 a day for A3 to A6 category hospitals and ₹7,500 a day for A1 and A2 category hospitals for non-oxygen beds. It had fixed ₹15,000 for oxygen-supported beds and Rs. 35,000 for ICU with ventilatory support. Hospitals were permitted to charge ₹30,000 a day for non-invasive ventilator, C-PAP and Bi-PAP in the ICU and ₹25,000 for ICU with oxygen as stepping down.

As per the government order, hospitals could face action under the Clinical Establishments Act and the Disaster Management Act if the charges are proven. Officials said private hospitals should adhere to the rates stipulated in the G.O. issued on May 22. People can lodge complaints on excess charges through the State health helpline 104.","At least 40 private hospitals in the State have been penalized for violating COVID-19 treatment rate regulations, with 10 hospitals losing their permits. Violations include charging above the government-prescribed rates. Notices have been issued to 22 hospitals for excess charges, and 20 more hospitals received notices on Friday. The government-fixed rates are ₹5,000 per day for non-oxygen beds, ₹15,000 for oxygen-supported beds, and up to ₹35,000 for ICU with ventilatory support. Hospitals must adhere to these rates or face further action under the Tamil Nadu Clinical Establishments Act and the Disaster Management Act. Complaints about excess charges can be reported via the State health helpline 104.",Health and Wellness
60,The Hindu,10/04/2021,https://www.thehindu.com/sport/football/premier-league-dallas-helps-leeds-stun-man-city/article34292084.ece,Premier League | Dallas helps Leeds stun Man City Fourth defeat of the season for Guardiola’s team,"Manchester City suffered just a fourth Premier League defeat of the season as 10-man Leeds United shocked the runaway leader, thanks to Stuart Dallas’ double in a 2-1 win at the Etihad on Saturday.

Cooper sees red
Dallas opened the scoring three minutes before half-time, but hope of a famous win for Marcelo Bielsa’s men seemed to have disappeared when captain Liam Cooper was shown a straight red card in first-half stoppage time.

The visitors withstood a City bombardment until Ferran Torres equalised 14 minutes from time.

But Leeds still summoned the energy to pose a threat on the counter-attack and gained its reward when Dallas slotted below Ederson.

Bielsa’s first win in five meetings against Pep Guardiola propels Leeds to ninth in its first season back in the English top flight for 16 years.

City still enjoys a 14-point lead at the top of the Premier League.

Imporant results: Premier League: Manchester City 1 (Torres 76) lost to Leeds 2 (Dallas 42, 90+1); Liverpool 2 (Salah 57, Alexander-Arnold 90+1) bt Aston Villa 1 (Watkins 43).

Manchester City 1 (Torres 76) Leeds 2 (Dallas 42, 90+1)

On Friday: Fulham 0 lost to Wolves 1 (Traore 90+2).

Bundesliga: Bayern Munich 1 (Musiala 68) drew with Union Berlin 1 (Ingvartsen 86).

Werder Bremen 1 (Rashica 61-pen) RB Leipzig 4 (Olmo 23, Sorloth 32, 41, Sabitzer 63).","Manchester City suffered a rare Premier League defeat, losing 2-1 to 10-man Leeds United at the Etihad. Stuart Dallas scored both goals for Leeds, despite their captain Liam Cooper receiving a red card before halftime. Ferran Torres equalized for City, but Dallas sealed the win with a late goal. Leeds' victory, their first against Pep Guardiola, moves them to ninth place. City still leads the Premier League by 14 points.

Premier League Results:

Manchester City 1 (Torres 76) lost to Leeds 2 (Dallas 42, 90+1)
Liverpool 2 (Salah 57, Alexander-Arnold 90+1) beat Aston Villa 1 (Watkins 43)
Other Matches:

Fulham 0 lost to Wolves 1 (Traore 90+2)
Bundesliga: Bayern Munich 1 (Musiala 68) drew with Union Berlin 1 (Ingvartsen 86)
Werder Bremen 1 (Rashica 61-pen) lost to RB Leipzig 4 (Olmo 23, Sorloth 32, 41, Sabitzer 63)",Sports
61,The Hindu,04/04/2021,https://www.thehindu.com/news/cities/Coimbatore/iron-bridge-over-moyar-river-in-theppakadu-to-be-replaced/article34234455.ece,Iron bridge over Moyar River in Theppakadu to be replaced,"An iron girder bridge that runs over Moyar River and due to its narrow width has succeeded in keeping heavy vehicle traffic passing through the Mudumalai Tiger Reserve (MTR) to a minimum is to be replaced.

The bridge, located in front of the Theppakadu Reception Centre, was said to be weak, and needed to be replaced for the last nine years, said officials from the State Highways Department. However, as a wider bridge would have required the approval of the Ministry of Environment and Forests (MoEF), a decision was taken to replace the existing one with a structure of the same proportion, the officials said.

Conservationists have for years opposed widening the bridge as the current width, measuring a little over 4 metres, ensures that heavy vehicles from Gudalur, Kerala and Karnataka are not able to pass through the section and into the core area of the tiger reserve between Theppakadu and Masinagudi. This meant that vehicles travelling to Gudalur and Karnataka from Udhagamandalam too do not usually pass through the tiger reserve, but are forced to taking the longer route via Gudalur.

When contacted, Field Director of MTR, K.K. Kaushal, said permission had been granted by the Chief Wildlife Warden on condition that the bridge should not exceed the current dimensions. “As there is no transfer of land taking place, the permission from the MoEF is not required,” he said.

Forest Department officials said discussions were held with the Divisional Engineer of the State Highways Department A.S. Viswanathan to come up with a plan to find a detour bypassing the bridge during its construction. “An existing path in the area will be paved and traffic will be diverted till the work on the bridge is completed. The highways has handed over ₹ 25 lakh to the Forest Department for the work to be completed,” an official said. The entire project is estimated to cost ₹ 2 crore, officials said.

The stretch of the Moyar where the bridge is to be rebuilt is famous for sightings of marsh crocodiles and smooth-coated otters. Mr. Kaushal said all efforts would be taken to ensure that the development works would not have an impact on the riverine ecosystem of the tiger reserve.","The iron girder bridge over the Moyar River in Mudumalai Tiger Reserve is set to be replaced due to its weakened state and narrow width. The existing bridge, which is just over 4 meters wide, limits heavy vehicle traffic, helping to reduce disruptions to the tiger reserve. Conservationists have long opposed widening it, as the narrow width prevents large vehicles from entering sensitive areas of the reserve.

State Highways officials noted that while a wider bridge would have required approval from the Ministry of Environment and Forests (MoEF), the new bridge will maintain the same dimensions. This decision avoids the need for MoEF approval and minimizes environmental impact.

Construction plans include paving an existing path to divert traffic during the bridge's replacement, which will be funded with ₹25 lakh from the Highways Department as part of a ₹2 crore project. Efforts will be made to protect the Moyar River's ecosystem, known for its crocodiles and otters.",Infrastructure Development
62,The Hindu,07/01/2021,https://www.thehindu.com/news/cities/bangalore/43-trees-to-make-way-for-new-auditorium-at-planetarium/article33523277.ece,43 trees to make way for new auditorium at planetarium,"A total of 43 trees will make way for a new building as part of the smart upgrade plan of the Jawaharlal Nehru Planetarium. The Deputy Conservator of Forests, Bengaluru Urban, has issued a public notice about the project, which states that of the 190 trees that are there in the project area, 43 will have to be removed, of which 28 can be transplanted.

The ₹20-crore project announced in February 2020, which will be carried out by Bengaluru Smart City Ltd., will have a well-equipped auditorium and lecture halls over a total built-up area of 40,350 sq. ft.

Pramod G. Galgali, Director of the planetarium, told The Hindu that the project, which was brought to a standstill by the COVID-19 pandemic, is aimed at providing necessary infrastructure to the non-formal science education activities of the planetarium.

“We have been organising non-formal science education activities since two decades. The science lectures are becoming popular. But we did not have the necessary infrastructure, and hence requested the government. The new building will house a 600-seater auditorium and some classrooms as well,” he said.

The proposed building will also have a viewing deck for events/eclipses, restrooms and toilets, apart from a small café with seating and basement parking. “We will accommodate what we can inside. The experts will decide on the details,” he said.

Citizens are not entirely enthused. Sandeep Anirudhan, convener of Citizen’s Agenda of Bengaluru, a citizen’s movement, said, “Public consultation is mandated by EIA, but they have to give drawings, survey of the place and other details. How is the public going to make objections without all these?” He also said that there should not be any plans involving loss of green cover. “We've destroyed the city enough. Transplantation success rate is only 10%. They should be thinking of designing a project around the trees,” he said.

Weekend draw
Since reopening mid-November, the planetarium, a popular landmark in the city and a big draw for science enthusiasts and children, has been running regular shows. “The number of visitors is much lower than before, but people are coming. Measures have been taken as per the SOPs, including temperature checks, sanitising, etc. The sky theatre is running at 60% capacity due to alternative seating. In the existing capacity, the weekends are full. On some weekends, we had to give additional shows,” Mr. Galgali said.","A total of 43 trees will be removed for the ₹20-crore smart upgrade of the Jawaharlal Nehru Planetarium in Bengaluru. Of these, 28 trees are slated for transplantation. The project, stalled by the pandemic, includes a 600-seat auditorium and classrooms for science education. Concerns have been raised by citizens about the environmental impact and the low success rate of tree transplantation, urging the design to preserve more green cover.",Environment
63,The Hindu,20/01/2021,https://www.thehindu.com/news/cities/Delhi/over-1200-bird-deaths-in-capital-amid-avian-influenza-outbreak/article33620903.ece,"Over 1,200 bird deaths in Capital amid avian influenza outbreak Result of 24 out of 201 samples from various areas positive","Over 1,200 bird deaths have been reported in Delhi in the last 15 days amid the avian influenza situation here, officials said on Wednesday.

Of the 201 samples collected from various places in the national capital, 24 have tested positive for bird flu so far, the director of the animal husbandry unit of the Delhi government’s Development Department, Rakesh Singh, said.

“A total of 1,216 bird deaths have been reported in Delhi since January 6. However, all the deaths cannot be attributed to bird flu. Cold stress is another major reason,” he said.

On Tuesday, authorities restricted the entry of public into the Red Fort till Friday after a sample of a dead crow tested positive for bird flu. Around 15 crows were found dead in the premises of the Red Fort on January 10.

“Four cranes were found dead in Delhi zoo a few days ago. Twelve samples were collected on Monday and sent to the National Institute of High Security Animal Diseases of the Indian Council of Agricultural Research for testing,” Mr. Singh said. Authorities have not received the test results from the Bhopal-based lab yet.

On Saturday, samples from a dead owl in the Delhi zoo had tested positive for avian influenza. Around 400 ducks were culled at Sanjay Lake on January 11.","Over 1,200 bird deaths have been reported in Delhi over the past 15 days amid an avian influenza outbreak. Of the 201 samples collected, 24 tested positive for bird flu. However, not all deaths are attributed to the flu, with cold stress being a significant factor. Authorities have taken measures, including restricting public entry to the Red Fort after a dead crow tested positive for bird flu, and the culling of 400 ducks at Sanjay Lake. Testing continues on other bird samples from locations like the Delhi zoo.",Health and Wellness
64,The Hindu,28/10/2020,https://www.thehindu.com/news/cities/Delhi/over-1200-bird-deaths-in-capital-amid-avian-influenza-outbreak/article33620903.ece,China slams U.S. Senators for ‘genocide’ resolution,"China on Wednesday accused U.S. Senators of telling “all kind of lies” after a group of lawmakers put forward a resolution accusing Beijing of genocide against Muslim minority groups in the far northwestern region of Xinjiang.

Relations between Washington and Beijing are at their worst in years over a series of flashpoints including trade, technology and human rights.

The text put forward by the Senators from across Washington’s political divide alleged China was guilty of a campaign “against Uighurs, ethnic Kazakhs, Kyrgyz and members of other Muslim minority groups” that “constitutes genocide”.

Further fuelling the criticism, U.S. Secretary of State Mike Pompeo told Indian news site The Print on Tuesday that China’s actions in Xinjiang “remind us of what happened in the 1930s in Germany”.

Beijing angrily hit back on Wednesday, saying the “so-called genocide in Xinjiang is a rumour deliberately concocted by some anti-China forces”.

The sensitive region is tightly controlled by Chinese authorities, and rights groups say more than one million Uighurs have been detained in camps.

“The U.S. Senators you mentioned have always been anti-China and are keen to concoct all kinds of lies to discredit China and use them to seek their own political gains,” Foreign Spokesman Wang Wenbin told reporters.

Mr. Wang also turned the tables on China’s critics, attacking the U.S. for the “assimilation and massacres of Native Americans in history to greatly reduce their population.”

“We urge certain US politicians to respect the facts, stop fabricating lies, and stop using Xinjiang-related issues to interfere in China's internal affairs,” he said.","China on Wednesday accused U.S. Senators of spreading ""all kinds of lies"" following a resolution put forward by U.S. lawmakers accusing Beijing of committing genocide against Muslim minority groups in Xinjiang. The resolution alleges that China has targeted Uighurs, Kazakhs, Kyrgyz, and other Muslim minorities. U.S. Secretary of State Mike Pompeo likened China's actions to those in 1930s Germany, further escalating tensions. Beijing dismissed the genocide claims as fabricated by anti-China forces and criticized the U.S. for its historical treatment of Native Americans.",International News
65,The Hindu,03/10/2020,https://www.thehindu.com/news/cities/Coimbatore/go-green-dharmapuri-app-launched/article32762888.ece,Go Green Dharmapuri App launched,"Go Green Dharmapuri App was launched here under the aegis of the State Pollution Control Board to encourage sapling plantation in the district. According to the administration, 25,000 saplings are proposed to be planted with the help of the app.

The Go Green initiative envisions reaching out to the public through the mobile app on android phones. Under this, any individual, organisation or group with the space to plant and maintain saplings can reach out through the app asking for saplings. Each will be given five saplings, if they have the pits ready. The distribution and planting of saplings will commence in October, and continue through November and December.

Individuals, Non-Governmental Organisations, volunteers and teachers willing to contribute to the initiative by way of volunteering are encouraged.

Those seeking to take part in the drive may download the Go Green Dharmapuri App on playstore. Upon registering with a user name and password and on receipt of an one-time password, the user may avail the facility. The user may request for the number of saplings and the photographs of the pits, with the address. The saplings will be distributed at the location sent through a short message. The app will cover Dharmapuri block and Dharmapuri municipality to create a green Dharmapuri.

Earlier, the app was launched by Minister for Higher Education K.P.Anbalagan.","The Go Green Dharmapuri App was launched under the State Pollution Control Board to promote sapling plantation in the Dharmapuri district. The initiative aims to plant 25,000 saplings with the help of the app, which enables individuals, organizations, and groups to request saplings for planting. Users can register on the app and request up to five saplings by submitting photos of prepared planting pits. The initiative, launched by the Minister for Higher Education, K.P. Anbalagan, will begin distributing saplings in October and continue through November and December, covering Dharmapuri block and municipality.",Environment
66,The Hindu,20/09/2020,https://www.thehindu.com/news/national/kerala/heavy-rain-lashes-kannur-kasaragod/article32655722.ece,"Heavy rain lashes Kannur, Kasaragod","Heavy rain lashed Kannur and Kasaragod districts on Sunday, resulting in large-scale agricultural losses and evacuation of families living in areas vulnerable to landslips and flooding.

According to P.K. Ramdas, Principal Agriculture Officer, incessant rain destroyed 113.74 hectares of crop areas in eight blocks in Kannur district, badly affecting over 800 farmers. The total loss was estimated at ₹200.61 lakh.

The worst affected areas are Thalassery, Iritty, Payyanur and Taliparamba.

As many as 23 houses were partially destroyed, which included eight in Thalassery, four in Taliparamba, two in Payyannur and nine in Iritty. Five relief camps were opened in the district. As many as 137 people from 23 families were relocated. There are 59 people in five relief camps in the district.

In Alappadambu and Kankol villages, 25,000 hectares of paddy were destroyed, affecting as many as 300 farmers. Other affected villages include Kannapuram, Makkeri, Anjarakandy and Karivellur-Peralam panchayat.

House damaged
In Kasaragod, families in Vellarikundu taluk areas, which are vulnerable to landslips, were evacuated. A house was partially damaged at Chittarikal village in east Eleri panchayat.

Three families in Madhur Patalam village were rescued with the help of the Fire and Rescue Services after their houses were inundated.","Heavy rainfall severely impacted the Kannur and Kasaragod districts, causing widespread agricultural losses and the evacuation of families. In Kannur, 113.74 hectares of crops were destroyed, affecting over 800 farmers, with an estimated loss of ₹200.61 lakh. Thalassery, Iritty, Payyanur, and Taliparamba were the worst-hit areas. Twenty-three houses were partially damaged, and 137 people from 23 families were relocated to five relief camps. In Kasaragod, vulnerable families in Vellarikundu taluk were evacuated, and a house was partially damaged in Chittarikal village.",Weather
67,The Hindu,06/09/2020,https://www.thehindu.com/news/cities/mumbai/cong-bjp-lock-horns-over-covid-19-situation-in-pune/article32538166.ece,"Cong., BJP lock horns over COVID-19 situation in Pune","With Pune turning into one of the country’s major COVID-19 hotspots, a slanging match has commenced between the Congress and the Bharatiya Janata Party (BJP) over the state of the city’s medical infrastructure, particularly the recently opened jumbo COVID-19 facilities.

Congress leader and national spokesperson Anant Gadgil blamed the BJP-led government at the Centre and the Pune Municipal Corporation (PMC), which is controlled by the BJP, for failing to check the spread of the contagion.

BJP MLA Siddharth Shirole hit back saying that it was the ruling Maha Vikas Aghadi (MVA) government’s responsibility to ensure that the mega facilities and other COVID-19 hospitals are properly managed. Mr. Gadgil, a former MLC, said that despite Pune having a BJP MP (Girish Bapat), five BJP MLAs, and 100 BJP corporators dominating the PMC, the situation seemed to be spiralling out of control.



‘Centre kept airports open’
Attacking the Narendra Modi government, the Congressman questioned why the Centre did not shut down international airports across the country, especially in Mumbai, in January.

“When most southeast Asian nations like Vietnam and Singapore and countries in the Asia-Pacific region like New Zealand, had already shut down their airports in January realising the danger, then why didn’t New Delhi do the same? Why did the Modi government go ahead with its ‘Namaste Trump’ pageant in Ahmedabad which further aided in spreading the virus in Gujarat and neighbouring areas, with the influx of thousands of foreigners?” he asked.

Mr. Gadgil alleged that between March 1 and 15, nearly 10 lakh international passengers had landed at Mumbai international airport of whom barely 19% were screened.

“Had the Centre closed down airports and cancelled hosting U.S. President Donald Trump in Gujarat, the virus would not have spread in Mumbai, and Pune, too, would have been safe today,” the Congressman claimed.

Mr. Gadgil was one of the first elected representatives in the State to channelise his MLA fund for boosting the public healthcare infrastructure at hospitals in Mumbai and Pune.

“Early on, I had raised the matter in the State Legislature that the MLA fund be increased to ₹50 lakh for COVID-19 related purchases. I would like to know how many elected representatives from the BJP have spent for bolstering medical infrastructure in Pune when the virus was just beginning to spread in the city?” he said.

As per State Health Department figures, Pune district, which has exceeded even Delhi’s figures, has nearly two lakh reported cases at present. Of them, around 34,000 are active ones with 4,400 fatalities.



Responding to Mr. Gadgil, Mr. Shirole, the BJP legislator from Shivajinagar, said that the PMC had already spent ₹300 crore to set up the jumbo COVID-19 facilities and that it was the ruling MVA government’s [of which the Congress is part] responsibility to ensure that they were run satisfactorily.

“It is the State leadership and Chief Minister Uddhav Thackeray who ought to personally intervene and hold accountable those responsible for the mismanagement of the COVID-19 hospitals in Pune. Mr. Thackeray and Deputy Chief Minister Ajit Pawar must closely monitor the situation, review the infrastructure and state of equipment, and urgently increase the number of experienced medical staff and doctors to man these hospitals,” Mr. Shirole said.

The stream of complaints regarding the poor management of the jumbo facilities has divided the Pune civic body administration and the Pune Metropolitan Region Development Authority (PMRDA), with the former blaming the latter for failing to maintain the facilities.

The mega COVID-19 facility at the city’s College of Engineering Pune (CoEP) grounds, which became operational recently, has received flak from citizens and politicos, with complaints being directed at the insensitivity shown by the management of the facility.

Meanwhile, Rubal Agarwal, additional municipal commissioner, and executive head of the jumbo centre, said the PMC had decided to provide manpower to ensure that the facility was smoothly operated.

‘Doctors did not quit’
“A staff of 50 doctors and 120 paramedics will be serving at the CoEP facility. There have been rumours that doctors and nurses at this facility have resigned. But there is no truth in this,” Ms. Agarwal clarified. She said that two cardiac ambulances had been made available there, while stressing that all treatment — including provision of remdisivir injections — would be free of charge.","Pune’s COVID-19 crisis has sparked a political clash between Congress and BJP. Congress leader Anant Gadgil blamed the BJP-led Central government and Pune Municipal Corporation (PMC) for failing to manage the pandemic, particularly criticizing their handling of airport shutdowns and a high-profile event. BJP MLA Siddharth Shirole countered that the Maha Vikas Aghadi (MVA) government, which includes Congress, is responsible for the management of COVID-19 facilities. Complaints about the management of a new jumbo facility at College of Engineering Pune have intensified the debate. The municipal commissioner assured that the facility is adequately staffed and equipped.",Politics
